(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 58004 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   9.40-9.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   9.50-9.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   9.60-9.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   9.70-9.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   9.80-9.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   9.90-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  10.00-10.10  sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]  10.10-10.20  sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]  10.20-10.30  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  10.30-10.40  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  10.40-10.50  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  10.50-10.60  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  10.60-10.70  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  10.70-10.80  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  10.80-10.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
